idcidade,Municipio,idm_ioibge,Area_MUN,idestado,estado,idmicro,mic_regiao,idmeso,mes_regiao,capital,populacao,fonte,NomeDSEI,StatusDSEI,NumDSEI
BR411970,Planaltina do Paraná,4119707,356.192,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,4277,IBGE (2015), ,,0
BR411980,Planalto,4119806,346.241,BR41,PR,BR41025,Capanema,BR4107,Sudoeste Paranaense,0,13926,IBGE (2015), ,,0
BR412015,Porto Barreiro,4120150,361.021,BR41,PR,BR41029,Guarapuava,BR4108,Centro-Sul Paranaense,0,3564,IBGE (2015),Interior Sul,Integral,1
BR412020,Porto Rico,4120200,217.676,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,2608,IBGE (2015), ,,0
BR412035,Pranchita,4120358,226.14,BR41,PR,BR41025,Capanema,BR4107,Sudoeste Paranaense,0,5558,IBGE (2015), ,,0
BR412040,Presidente Castelo Branco,4120408,155.734,BR41,PR,BR41006,Astorga,BR4103,Norte Central Paranaense,0,5144,IBGE (2015), ,,0
BR412065,Quarto Centenário,4120655,321.875,BR41,PR,BR41004,Goioerê,BR4102,Centro Ocidental Paranaense,0,4824,IBGE (2015), ,,0
BR412085,Quatro Pontes,4120853,114.393,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,3998,IBGE (2015), ,,0
BR412090,Quedas do Iguaçu,4120903,821.503,BR41,PR,BR41029,Guarapuava,BR4108,Centro-Sul Paranaense,0,32982,IBGE (2015),Interior Sul,Integral,1
BR412100,Querência do Norte,4121000,914.763,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,12247,IBGE (2015), ,,0
BR412110,Quinta do Sol,4121109,326.177,BR41,PR,BR41005,Campo Mourão,BR4102,Centro Ocidental Paranaense,0,4985,IBGE (2015), ,,0
BR412125,Ramilândia,4121257,237.196,BR41,PR,BR41024,Foz do Iguaçu,BR4106,Oeste Paranaense,0,4385,IBGE (2015),Interior Sul,Integral,1
BR412135,Rancho Alegre D'Oeste,4121356,241.386,BR41,PR,BR41004,Goioerê,BR4102,Centro Ocidental Paranaense,0,2833,IBGE (2015), ,,0
BR412140,Realeza,4121406,353.416,BR41,PR,BR41025,Capanema,BR4107,Sudoeste Paranaense,0,17023,IBGE (2015), ,,0
BR412160,Renascença,4121604,425.274,BR41,PR,BR41026,Francisco Beltrão,BR4107,Sudoeste Paranaense,0,6984,IBGE (2015), ,,0
BR412175,Reserva do Iguaçu,4121752,834.232,BR41,PR,BR41029,Guarapuava,BR4108,Centro-Sul Paranaense,0,7815,IBGE (2015),Interior Sul,Integral,1
BR412215,Rio Bonito do Iguaçu,4122156,681.406,BR41,PR,BR41029,Guarapuava,BR4108,Centro-Sul Paranaense,0,13538,IBGE (2015),Interior Sul,Integral,1
BR412250,Roncador,4122503,742.121,BR41,PR,BR41005,Campo Mourão,BR4102,Centro Ocidental Paranaense,0,11065,IBGE (2015),Interior Sul,Integral,1
BR412260,Rondon,4122602,555.125,BR41,PR,BR41003,Cianorte,BR4101,Noroeste Paranaense,0,9488,IBGE (2015), ,,0
BR412270,Sabáudia,4122701,190.329,BR41,PR,BR41010,Apucarana,BR4103,Norte Central Paranaense,0,6585,IBGE (2015), ,,0
BR412280,Salgado Filho,4122800,189.315,BR41,PR,BR41026,Francisco Beltrão,BR4107,Sudoeste Paranaense,0,4142,IBGE (2015), ,,0
BR412300,Salto do Lontra,4123006,312.717,BR41,PR,BR41026,Francisco Beltrão,BR4107,Sudoeste Paranaense,0,14539,IBGE (2015), ,,0
BR412330,Santa Cruz de Monte Castelo,4123303,442.013,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,8166,IBGE (2015), ,,0
BR412340,Santa Fé,4123402,276.241,BR41,PR,BR41006,Astorga,BR4103,Norte Central Paranaense,0,11431,IBGE (2015), ,,0
BR412350,Santa Helena,4123501,758.227,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,25415,IBGE (2015),Interior Sul,Integral,1
BR412360,Santa Inês,4123600,138.481,BR41,PR,BR41006,Astorga,BR4103,Norte Central Paranaense,0,1765,IBGE (2015), ,,0
BR412370,Santa Isabel do Ivaí,4123709,349.497,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,8896,IBGE (2015), ,,0
BR412380,Santa Izabel do Oeste,4123808,321.182,BR41,PR,BR41025,Capanema,BR4107,Sudoeste Paranaense,0,14165,IBGE (2015), ,,0
BR412382,Santa Lúcia,4123824,116.858,BR41,PR,BR41023,Cascavel,BR4106,Oeste Paranaense,0,3976,IBGE (2015),Interior Sul,Integral,1
BR412385,Santa Maria do Oeste,4123857,847.137,BR41,PR,BR41028,Pitanga,BR4108,Centro-Sul Paranaense,0,11009,IBGE (2015),Interior Sul,Integral,1
BR412395,Santa Mônica,4123956,259.957,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,3849,IBGE (2015), ,,0
BR412402,Santa Tereza do Oeste,4124020,326.19,BR41,PR,BR41023,Cascavel,BR4106,Oeste Paranaense,0,10509,IBGE (2015), ,,0
BR412405,Santa Terezinha de Itaipu,4124053,259.393,BR41,PR,BR41024,Foz do Iguaçu,BR4106,Oeste Paranaense,0,22570,IBGE (2015),Interior Sul,Integral,1
BR412420,Santo Antônio do Caiuá,4124202,219.068,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,2757,IBGE (2015), ,,0
BR412440,Santo Antônio do Sudoeste,4124400,325.651,BR41,PR,BR41026,Francisco Beltrão,BR4107,Sudoeste Paranaense,0,19958,IBGE (2015), ,,0
BR412450,Santo Inácio,4124509,306.871,BR41,PR,BR41006,Astorga,BR4103,Norte Central Paranaense,0,5481,IBGE (2015), ,,0
